Patent_No,IPC_all,Inventor,Family_Patent,Forward,Family_Country
us010001380b2,G06F-021/57 | G06F-021/55 | G01S-019/42 | H04W-004/04 | G08G-001/14 | G08G-001/0968 | G08G-001/0967 | G08G-001/01 | G01C-021/34 | G01C-021/36 | G01C-021/00,Koushik Annapureddy | Keir Finlow-Bates,US 10001380 B2 | US 2014278074 A1 | US 2015170515 A1 | US 2016252360 A1 | US 8972175 B2 | US 9336681 B2 | US)us010001380b2 | WO 2014158411 A1,,2
us010001560b2,G01S-013/72 | G01S-013/34 | G01S-007/41 | B60W-030/09 | G01S-013/93,Hiroyuki Ishimori,DE 102015105078 A1 | JP 2015210157 A | JP 6348332 B2 | US 10001560 B2 | US 2015309171 A1 | US)us010001560b2,,3
us010001835b2,B60K-035/00 | G06F-003/00 | G06F-003/01 | G09G-005/00,Changmo Yang,US)us010001835b2,,1
us010002036b2,B60R-016/023 | H04L-029/08 | H04L-012/26 | G06F-009/54,Axel Fuchs | Scott Sturges Andrews,US)us010002036b2,,1
us010002094b2,G06F-013/40 | G06F-013/24,Axel Aue | Eugen Becker,US)us010002094b2,3,1
us010002258b2,G06F-021/62 | G06F-021/60 | H04L-029/06 | H04L-012/40,Gil Litichever | Ziv Levi,US)us010002258b2,,1
us010002300b2,B60K-035/00 | B60K-028/06 | G06K-009/00,Seong Sook Ryu | Byoung Joon Lee | Jin Kwon Kim | Ho Choul Jung | Sam Yong Kim,US)us010002300b2,,1
us010002339b2,G06Q-010/06 | G06Q-040/00,"Robert Prieto | David Vaughn | Jeffrey M Plumblee, II | Marnie Ball",US 10002339 B2 | US 2015019267 A1 | US)us010002339b2,19,1
us010002416b2,G06T-007/90 | G06T-011/20 | G06T-007/60 | G06T-005/00 | G06K-009/62 | G06K-009/52 | G06K-009/46 | G06T-007/00 | G06T-007/73 | G06K-009/00,Kamal Mannar | Senthil Ramani | Manik Bhandari | Andrea Huanhuan Wang | Uvaraj Balasundaram,CN 106407880 A | EP 3125151 A2 | EP 3125151 A3 | SG 10201506012S A | US 10002416 B2 | US 2017032509 A1 | US 2018260947 A1 | US)us010002416b2,1,4
us010002466b2,G06Q-030/06 | G06Q-020/40 | G06Q-020/12 | G06Q-020/38 | G05D-001/02 | G01C-021/34 | G07B-013/02,Eric Berkobin | Hamsa Ibrahim,US 10002466 B2 | US 2012022741 A1 | US 2015262435 A1 | US 2015268059 A1 | US 2016042644 A1 | US 2016203649 A1 | US 2016302046 A1 | US 8874365 B2 | US 9245396 B2 | US 9418554 B2 | US 9541419 B2 | US 9560490 B2 | US)us010002466b2,,1
us010002471b2,G06Q-010/04 | G05D-001/02 | G05D-001/00 | G01C-021/34 | G07C-005/08 | G01C-021/00,Ilya Blayvas | Ron Fridental | Shengwei Da,CN 107036600 A | US 10002471 B2 | US 2017090478 A1 | US 2018261023 A1 | US)us010002471b2,1,2
us010002479b2,G01S-019/14 | G07C-005/00 | G07C-005/08 | G07C-005/02 | G01S-019/42 | G06Q-050/26 | G06Q-050/28 | H04W-004/02 | G07C-009/00,Seval Oz | Yao Zhai,US)us010002479b2,,1
us010002534b2,G08G-001/0962 | G06K-009/00 | B60R-001/00 | B60K-035/00 | G08G-001/0967 | G08G-001/09,Jian Hu,JP 2017083989 A | US 10002534 B2 | US 2017116853 A1 | US)us010002534b2,,2
us010002536b2,H04W-004/04 | H04W-008/00 | H04W-052/02 | H04W-004/02 | B60W-030/09 | G08G-001/0962 | G08G-001/095 | G08G-001/005 | H04W-076/04 | H04L-029/08 | G08G-001/16,Kyung-Kyu Kim | Hyun-Jeong Kang | Sang-Wook Kwon | Young-Joong Mok,US)us010002536b2,,1
us010003288b2,H02P-027/08 | H02P-006/16 | H03M-001/12,Hikaru Sasaki | Kenji Asai | Yuki Gohara | Masateru Moroizumi,JP 2017-139882 A | US 10003288 B2 | US 2017-0222584 A1 | US)us010003288b2,,2
us010003344b2,G06F-003/16 | H03L-007/18 | H03L-007/14 | H03L-007/087 | H03G-005/00 | H03L-007/08 | H03L-007/099,John Paul Lesso,US 10003344 B2 | US 2013129114 A1 | US 2016149581 A1 | US 2018269884 A1 | US 9281827 B2 | US)us010003344b2,,1
us010003755b2,H04N-009/64 | H04N-009/04 | H04N-005/225 | H04N-005/33 | H04N-007/18,Yuesheng Lu | Michael J. Higgins-Luthman | William R. Livengood | James D. Harris,US 10003755 B2 | US 2010289885 A1 | US 2013250103 A1 | US 2015092059 A1 | US 8446470 B2 | US 8908040 B2 | US)us010003755b2 | WO 2009046268 A1,1,2
us010003773b2,H04N-005/907 | H04N-005/77 | H04N-005/232 | B60R-001/00 | G06K-009/00 | H04N-007/18 | B60R-021/01,Dal Hyun Jang | Seung Hwan Lee | Young Tak Kim | Sang Woon Suh | Ho Youl Jung | Chang Hyeon Park,US)us010003773b2,2,1
us010003910b2,H04L-009/32 | H04W-012/06 | G06F-021/44 | H04L-029/08 | H04L-029/06 | H04W-004/00 | G06F-007/04,Keisuke Miura | Isao Tanaka | Yasuhisa Uoya | Takafumi Morishita | Yoshito Hayakawa,CN 104169936 A | EP 2902935 A1 | EP 2902935 A4 | JP 2014071708 A | JP 5997564 B2 | US 10003910 B2 | US 2015052581 A1 | US)us010003910b2 | WO 2014050713 A1,,5
us010003916b2,H04W-004/16 | H04M-003/42 | H04W-004/02,Keith Chaise | Eden Chaise,US 10003916 B2 | US 2017118589 A1 | US)us010003916b2,,1
us010003929b2,H04W-004/02 | G01C-021/36 | H04W-004/04 | H04W-004/029,Tomohiko Taniguchi,US)us010003929b2,1,1
us010003951b2,H04L-029/08 | H04W-004/00 | H04B-007/00,Jason Mathew Green | Christopher Arthur General Alviar | Thomas Dieter Winkler,US 10003951 B2 | US)us010003951b2 | WO WO2017/147530 A1,,2
us010004981b2,A63F-013/803 | A63F-013/245 | A63F-013/2145 | A63F-009/24,Robert Champagne | Shigeki Yamashiro | Shigeru Miyamoto | Claude Comair,US)us010004981b2,,1
us010005326b2,B60C-023/04 | B60C-023/02 | B60C-023/00,Soon Hong So | Jeong Mu Heo | Jae Wook Ihm | Jeong Heon Kim,US)us010005326b2,1,1
us010005335b2,B60G-017/019 | B60G-017/016 | B60G-021/045,Louis J. Brady | Alex R. Scheuerell | Steven R. Franker | Aaron J. Nysse,US)us010005335b2,,1
us010005369b2,H02J-007/02 | H02J-050/10 | H02J-050/80 | B60L-011/18 | H02J-007/00,Yukinori Tsukamoto,BR 112015025036 A2 | CA 2908489 A1 | CA 2908489 C | CN 105027390 A | CN 105027390 B | EP 2985875 A1 | EP 2985875 A4 | EP 2985875 B1 | JP 5950028 B2 | JP WO2014157092 A1 | KR 101735986 B1 | KR 20150119389 A | MX 2015013712 A | MX 346764 B | MY 162431 A | US 10005369 B2 | US 2016297312 A1 | US)us010005369b2 | WO 2014157092 A1,,10
us010005373b2,B60L-003/12 | B60L-003/00 | H02J-007/04 | H02J-007/00 | B60L-011/18,Hiroshi Morikawa | Yoshinori Aoshima | Masayuki Takada | Kenichiro Tsuru | Shigeyuki Kiyota | Yoshiyuki Tanaka | Toyoki Iguchi | Hiroaki Hashimoto | Yasuyuki Takahashi,CN 105453381 A | CN 105453381 B | EP 3032695 A1 | EP 3032695 A4 | JP 6233856 B2 | JP WO2015019874 A1 | MX 2016001537 A | MX 350769 B | US 10005373 B2 | US 2016176308 A1 | US)us010005373b2 | WO 2015019874 A1,,6
us010005375b2,B60W-040/076 | B60K-006/48 | B60W-040/13 | B60W-020/30 | B60L-015/20,Mark Steven Yamazaki | Hai Yu | Bernard D. Nefcy | Felix Nedorezov | Wei Liang,CN 105485326 A | DE 102015116107 A1 | US 10005375 B2 | US 2016096446 A1 | US 2017129363 A1 | US 9579991 B2 | US)us010005375b2,,3
us010005387b2,G05B-001/00 | H01Q-001/32 | B60Q-001/26 | B60Q-001/48,Juanito Yu Co | Ryan Craig | Helen Chan Co,CN 105438058 A | DE 102015114623 A1 | MX 2015013345 A | US 10005387 B2 | US 2016082880 A1 | US)us010005387b2,13,4
us010005391b2,B60R-001/00 | B60Q-009/00 | B60Q-001/00,Hiroki Mori | Ryuji Funayama | Jun Sato | Ayako Shimizu | Yuichi Kumai | Yuma Kawamori | Takeshi Matsumura | Tsukasa Shimizu | Yasuo Sakaguchi,US)us010005391b2,,1
us010005394b2,H04N-005/217 | G06K-009/00 | B60S-001/54 | H04N-007/18 | B60Q-001/14 | B60Q-001/08 | B60R-001/00,Michael J. Higgins-Luthman,US)us010005394b2,1,1
us010005414b2,B60K-031/00 | B60W-050/00 | B60W-030/095 | B60W-010/30 | B60W-010/184 | B60R-021/01 | B60R-021/015 | B60R-021/0134,Eung Seo Kim | Tae Young Lee | Yong Seok Kwon | Sang Min Lee | Suk Ki Min | Dong Hyun Sung,US)us010005414b2,,1
us010005416b2,B62D-027/00 | B60N-003/00 | B60R-021/12,Terry L. Setina,US)us010005416b2,,1
us010005419b2,B60R-021/237 | B60R-021/213,Hirotake Konaka | Yoshitomo Kato,CN 106926809 A | JP 2017-119488 A | US 10005419 B2 | US 2017-0182964 A1 | US)us010005419b2,3,3
us010005421b2,B62D-025/08 | B60R-021/36 | B60K-028/10,Shinya Kamimura,US)us010005421b2,,1
us010005429b2,H04L-009/32 | H04L-009/30 | H04L-009/14 | G07C-009/00 | G06K-007/10 | H04L-009/08 | H04W-012/04 | B60R-025/24 | H04L-029/06,Eric Peeters | Jin-Meng Ho,US)us010005429b2,,1
us010005442b2,B60T-013/66 | B60T-013/16 | B60T-013/68 | B60T-013/74 | B60T-007/04,Shoh Murakami | Yasufumi Konishi,CN 103029698 A | DE 102012217272 A1 | JP 2013071719 A | JP 5850690 B2 | KR 20130035204 A | US 10005442 B2 | US 2013082514 A1 | US 2017036659 A1 | US)us010005442b2,1,5
us010005450b2,F02D-037/02 | H01M-010/6564 | B60W-010/26 | F01N-003/027 | B60W-020/13 | H01M-010/63 | H01M-010/625 | H01M-010/48 | H01M-010/44 | H01M-010/615 | F02D-041/02 | B60W-020/00 | B60W-010/08 | B60W-010/06 | B60K-006/445 | B60L-011/18 | B60K-006/44 | B60W-020/16,Hidekazu Nawata | Toshio Inoue | Keita Fukui | Tomoaki Honda | Yuta Niwa | Taichi Osawa,CN 106103165 A | DE 112015001304 T5 | JP 2015174627 A | JP 5991336 B2 | US 10005450 B2 | US 2017096136 A1 | US)us010005450b2 | WO 2015140617 A1,,5
us010005451b2,B60W-010/08 | B60W-010/06 | B60K-006/442 | B60W-020/40 | B60Q-001/50 | B60W-050/08 | B60W-020/20 | G06F-017/00 | G06F-007/00 | G05D-003/00 | G05D-001/00 | B60L-011/00 | B60L-009/00,Hans Pehrson,US)us010005451b2,,1
us010005452b2,B60W-020/00 | B60K-006/547 | B60K-006/48 | B60K-006/387 | B60K-006/36 | B60W-020/40 | B60W-020/30 | B60W-010/113 | B60W-010/02,Byeong Wook Jeon | Ju Hyun Nam,CN 106864448 A | KR 1755497 B1 | KR 20170068996 A | US 10005452 B2 | US 2017166192 A1 | US)us010005452b2,,3
us010005454b2,H02P-003/14 | B60K-006/365 | B60K-006/26 | B60K-006/445 | B60L-015/00 | B60L-011/02 | B60K-006/28 | H02P-029/60 | B60W-010/08 | B60W-010/06 | B60W-020/50,Mitsuhiro Matsumura | Takeshi Kishimoto | Masaya Amano | Takashi Ando | Yu Shimizu,JP 2017061271 A | JP 6252574 B2 | US 10005454 B2 | US 2017088127 A1 | US)us010005454b2,1,2
us010005458b2,G05D-001/00 | B60W-030/06,Hiroaki Ohshima,US)us010005458b2,2,1
us010005464b2,G08G-001/16 | G08G-001/01 | B60W-040/04 | B60W-010/184 | G05D-001/00 | B60W-030/08 | B60W-010/20 | B60W-010/18 | B60W-010/04 | B60W-030/18,Heishiro Toyoda | Joshua Domeyer,US 10005464 B2 | US 2017057514 A1 | US)us010005464b2,3,1
us010005488b2,B62D-006/10 | B62D-025/08 | B62D-005/20 | B62D-003/14 | B62D-001/20 | B62D-005/04,Bradley G. Hochrein | Jack E. Barry | James Philip Cooper | Alex Parker | Joseph Washnock | Salvador Toledo | Timothy Patrick Diez | Thomas Philip Flanagan,CN 106891990 A | DE 102016123888 A1 | US 10005488 B2 | US 2017-0174252 A1 | US)us010005488b2,,3
us010006522b2,F16H-061/686 | F16H-061/04 | F16H-003/66 | F16H-061/00 | F16H-059/00,Jonggap Kim | Masami Kondo | Hideo Watanabe,CN 106321751 A | DE 102016111767 A1 | JP 2017015162 A | US 10006522 B2 | US 2017002923 A1 | US)us010006522b2,2,4
us010006770b2,G01S-019/53 | G01S-019/14 | G01C-021/16,John Hamilton,US 10006770 B2 | US 2017138738 A1 | US)us010006770b2,,1
us010006834b2,G01M-015/02 | G01M-013/02 | G01M-017/007,Kei Tanaka | Kazuhiro Shiomi | Yoshifumi Sugihara | Yoku Hirose | Kazuki Furukawa,JP 2016001174 A | US 2015338313 A1 | US)us010006834b2,1,2
us010006987b2,G01S-013/93 | G01S-013/34 | G01S-013/32 | G01S-013/58 | G01S-007/35 | G01S-013/08,Cristian Pavao-Moreira | Dominique Delbecq | Birama Goumballa,US)us010006987b2,1,1
us010007112b2,B60R-001/12 | G02B-027/01 | G06F-003/16 | G06F-003/01 | G01S-019/42 | B60R-001/04 | B60R-001/00,"Timothy R. Fitch | Windell Smith | Scott D'Wayne Whitfield, II | Demond Burwell | John Matthew Williams | Laran Gregory | Kyler Anderson | Olivia Park | Julie Dye",US 10007112 B2 | US 2016325677 A1 | US)us010007112b2,6,1
us010007264b2,B60W-050/00 | B60W-050/08 | G05D-001/00,Fan Zhu | Qi Kong | Guang Yang | Jingao Wang,CN 108025742 A | EP 3334626 A1 | EP 3334626 A4 | KR 20180050704 A | US 10007264 B2 | US 2018017968 A1 | US)us010007264b2 | WO 2018013172 A1,,5
us010007270b2,E02F-009/20 | G01S-019/45 | G01S-019/25 | E02F-009/26 | E02F-009/22 | E02F-003/84 | G01S-019/41 | E01C-019/00 | G05D-001/02,Chris Mazur | Adriaan Bakker | Alexander Kurz,CN 106292417 A | EP 3106899 A1 | US 10007270 B2 | US 2016370805 A1 | US)us010007270b2,,3
us010007271b2,G08G-001/00 | B60W-030/00 | G05D-001/00 | G05D-001/02,Tarun Amla | Jyoti Amla | Keshav Amla,EP 3387505 A1 | US 10007271 B2 | US 2017168503 A1 | US 2018239362 A1 | US)us010007271b2 | WO 2017100626 A1,2,3
us010007290b2,F16D-037/00 | F16H-059/08 | F16H-059/04 | F16H-059/02 | F16D-057/00 | F16C-001/00 | A61F-002/38 | G05G-001/08 | G05G-005/03 | F16D-037/02,Stefan Battlogg,CN 103109103 A | CN 103109103 B | CN 105179515 A | CN 105179516 A | DE 102010055833 A1 | DE 102015110633 A1 | DE 102015110634 A1 | EP 2616704 A1 | EP 2616704 B1 | US 10007290 B2 | US 2013175132 A1 | US 2016153508 A1 | US 2016378131 A1 | US 2017045958 A1 | US 2017115735 A1 | US 2018217628 A1 | US 9091309 B2 | US)us010007290b2 | WO 2012034697 A1 | WO 2017001696 A1 | WO 2017001697 A1,1,5
us010007342b2,G06F-003/041 | B62D-001/04 | G06F-003/16 | G06F-003/01,Jason Lisseman | David Andrews,US)us010007342b2,1,1
us010007478b2,G10L-015/22 | B60N-002/02 | G06F-003/16 | G10L-015/00,Tony Wang | Frank Wu | Rose Tong,US 10007478 B2 | US 2016379631 A1 | US)us010007478b2,3,1
us010007849b2,G08B-013/196 | G06T-007/292 | G06T-007/13 | G06T-007/73 | G06T-007/80 | G06T-007/00 | G06K-009/62 | G06T-019/00 | G06T-015/20 | H04N-007/18 | G06F-017/30 | G06K-009/00,Cyrille Bataller | Anders Astrom,AU 2016203571 A1 | AU 2016203571 B2 | AU 2016203579 A1 | AU 2016203594 A1 | AU 2017204181 A1 | AU 2017218930 A1 | CA 2931713 A1 | CA 2931743 A1 | CA 2931743 C | CA 2931748 A1 | EP 3098754 A1 | EP 3098755 A1 | EP 3098756 A1 | SG 10201604361S A | SG 10201604367V A | SG 10201604368T A | US 10007849 B2 | US 10055646 B2 | US 2016350334 A1 | US 2016350587 A1 | US 2016350596 A1 | US 2016350597 A1 | US 2016350599 A1 | US 2016350921 A1 | US 2018293443 A1 | US 9996749 B2 | US)us010007849b2,,5
us010007992b1,G06T-007/60 | G06K-009/62 | G06K-009/46 | G06T-015/00 | G06T-007/62 | G06K-009/52 | G06T-007/00 | G06K-009/00,Brian N. Harvey | Nathan L. Tofte | Roger D. Schmidgall | Michael Jeffrey Aviles | Kyle Pott | Rosemarie Geier Grant | Eric Haefli | Michael Shawn Jacob,US)us010007992b1,,1
us010008058b2,G07C-009/00 | H04M-001/725,David R. Piche | Robert Allen Gee,US 10008058 B2 | US 2017169636 A1 | US)us010008058b2,3,1
us010008084b2,H04W-012/08 | G06K-019/077 | H04B-010/00 | G08B-013/00 | G05B-019/00 | G05B-023/00 | H04W-012/06 | G06Q-010/00 | G01S-017/74 | G07C-009/00 | G08B-013/24 | G08B-023/00,James P Tolle,US 10008084 B2 | US 2015123767 A1 | US 2017103632 A1 | US 9519853 B2 | US)us010008084b2,,1
us010008112b2,G08G-001/00 | G08G-001/0967 | G08G-001/09,Kevin K. Groeneweg,US)us010008112b2,,1
us010008113b2,G08G-001/0962 | G08G-001/01 | G06K-009/00 | B60R-001/00 | G08G-001/0967 | G06F-007/00 | G05D-003/00 | G05D-001/00,Kiel Roger Ova | Thomas Bauer | Jingtao Ma | Kyle Zachary Hatcher,US 10008113 B2 | US 2018276991 A1 | US)us010008113b2,2,1
us010008115b2,G06K-009/66 | G06K-009/46 | G06K-009/00 | G08G-001/16 | G08G-001/14,Raka Singh,US 10008115 B2 | US 2017-0249840 A1 | US)us010008115b2 | WO WO2017/149385 A1,1,2
us010008118b2,G01P-011/02 | B60K-035/00 | B60R-001/00 | G08G-001/16 | B60Q-001/00,Robert Brandriff | Kristen Brandriff,US 10008118 B2 | US 2017-0301238 A1 | US)us010008118b2,,1
us010009289b2,H04W-004/04 | H04L-029/08 | H04L-012/413 | H04L-012/24 | H04L-012/40 | H04L-012/927,Timo Maise | Paul Behrendt | Kai Schneider,CN 106059871 A | DE 102015105110 A1 | US 10009289 B2 | US 2016294724 A1 | US)us010009289b2,1,3
us010009351b2,H04L-029/06 | G06F-021/00,Yu Yung Choi,US 10009351 B2 | US 2016344740 A1 | US)us010009351b2,,1
us010009580b2,B60W-040/08 | G08G-001/16 | B60W-030/09 | G06K-009/00 | B60R-001/00 | H04N-007/18,Andreas Offenhaeuser,CN 104584102 A | CN 104584102 B | DE 102012214852 A1 | US 10009580 B2 | US 2015229885 A1 | US)us010009580b2 | WO 2014029738 A1,11,4
us010009714b2,H04W-064/00 | H04W-076/50 | H04W-004/02,Paul D. Marko,US 10009714 B2 | US 2014295885 A1 | US)us010009714b2 | WO 2013086244 A1,13,2
us010009908b2,H04W-088/06 | H04W-076/04 | H04W-072/02 | H04W-024/10 | H04W-048/08 | H04W-072/08 | H04W-004/00,Torgny Palenius | Peter Alriksson | Maomao Chen | Muhammad Kazmi | Christopher Callender | Joakim Axmon,AR 103558 A1 | US 10009908 B2 | US 2016360537 A1 | US)us010009908b2 | WO 2016122377 A1,2,3
us010011175b2,B60W-050/00 | B60W-040/08 | B60W-050/08 | B60K-028/06,Michael Schadeck,CN 103093647 A | CN 103093647 B | DE 102011117850 A1 | EP 2591969 A1 | US 10011175 B2 | US 2013116856 A1 | US)us010011175b2,,4
us010011183b2,B60L-011/18 | H02J-007/00,Takayuki Shimizu | Kenichi Murakami | Kunihiko Kumita | Tomoya Ohno,CN 107176041 A | JP 2017-163823 A | JP 6354873 B2 | US 10011183 B2 | US 2017-0259683 A1 | US)us010011183b2,,3
us010011187b2,G01C-021/26 | G07C-005/08 | G07C-005/06 | G07C-005/00 | B60L-011/18,Kang Ju Cha | Yong Ki Lee | Jin Young You | Jang Yong Lee | Jae Hoon Cho,CN 107284241 A | KR 1755504 B1 | US 10011187 B2 | US 2017-0282739 A1 | US)us010011187b2,,3
us010011188b2,B60W-020/15 | B60K-006/445 | B60W-010/26 | B60W-020/13 | B60L-011/18 | H02J-007/16 | H02J-007/04 | H02J-007/00,Keiichi Minamiura,US)us010011188b2,,1
us010011224b2,H04R-003/04 | B60Q-009/00,Kyoung Jin Chang,KR 101804772 B1 | US 10011224 B2 | US 2018056860 A1 | US)us010011224b2,,2
us010011241b2,B60R-021/015 | G01D-005/14 | B60R-021/01,Josua Lanter,CH 711199 A2 | DE 102016110615 A1 | US 10011241 B2 | US 2016362077 A1 | US)us010011241b2,,3
us010011264b2,B60W-010/26 | B60W-020/15 | B60W-020/10 | B60W-030/188 | B60W-030/182 | B60W-010/08 | B60W-010/06 | B60W-020/13 | B60W-020/00,Hao Chen | Ou Ruan,US 10011264 B2 | US)us010011264b2,9,1
us010011266b2,B60W-020/40 | B60L-011/18 | H02J-007/00 | B60W-020/13,Hae-Seung Lee | Se-Geun Kim | Dong Shin,US)us010011266b2,,1
us010011267b2,B60W-030/18 | B60W-020/00 | B60W-010/08 | B60W-010/06 | B60K-006/48 | B60W-020/15 | B60W-010/02,Matthew Hancock,US)us010011267b2,1,1
